real,fake,mask,prompt
real/dining table_114871.png,fake/glide_inpainting_val2017_114871_up.png,mask/dining table_114871_mask.png,dining table
real/teddy bear_563758.png,fake/glide_inpainting_val2017_563758_up.png,mask/teddy bear_563758_mask.png,teddy bear
real/refrigerator_73326.png,fake/glide_inpainting_val2017_73326_up.png,mask/refrigerator_73326_mask.png,refrigerator
real/cake_493334.png,fake/glide_inpainting_val2017_493334_up.png,mask/cake_493334_mask.png,cake
real/sheep_364322.png,fake/glide_inpainting_val2017_364322_up.png,mask/sheep_364322_mask.png,sheep
real/bus_405205.png,fake/glide_inpainting_val2017_405205_up.png,mask/bus_405205_mask.png,bus
real/train_66135.png,fake/glide_inpainting_val2017_66135_up.png,mask/train_66135_mask.png,train
real/bus_95843.png,fake/glide_inpainting_val2017_95843_up.png,mask/bus_95843_mask.png,bus
real/clock_164363.png,fake/glide_inpainting_val2017_164363_up.png,mask/clock_164363_mask.png,clock
real/orange_128598.png,fake/glide_inpainting_val2017_128598_up.png,mask/orange_128598_mask.png,orange
real/laptop_80949.png,fake/glide_inpainting_val2017_80949_up.png,mask/laptop_80949_mask.png,laptop
real/teddy bear_409268.png,fake/glide_inpainting_val2017_409268_up.png,mask/teddy bear_409268_mask.png,teddy bear
real/cow_402992.png,fake/glide_inpainting_val2017_402992_up.png,mask/cow_402992_mask.png,cow
real/toaster_66841.png,fake/glide_inpainting_val2017_66841_up.png,mask/toaster_66841_mask.png,toaster
real/train_221213.png,fake/glide_inpainting_val2017_221213_up.png,mask/train_221213_mask.png,train
real/toilet_331352.png,fake/glide_inpainting_val2017_331352_up.png,mask/toilet_331352_mask.png,toilet
real/teddy bear_220310.png,fake/glide_inpainting_val2017_220310_up.png,mask/teddy bear_220310_mask.png,teddy bear
real/elephant_270402.png,fake/glide_inpainting_val2017_270402_up.png,mask/elephant_270402_mask.png,elephant
real/tv_66635.png,fake/glide_inpainting_val2017_66635_up.png,mask/tv_66635_mask.png,tv
real/bus_201934.png,fake/glide_inpainting_val2017_201934_up.png,mask/bus_201934_mask.png,bus
real/parking meter_53994.png,fake/glide_inpainting_val2017_53994_up.png,mask/parking meter_53994_mask.png,parking meter
real/tv_387098.png,fake/glide_inpainting_val2017_387098_up.png,mask/tv_387098_mask.png,tv
real/dog_355905.png,fake/glide_inpainting_val2017_355905_up.png,mask/dog_355905_mask.png,dog
real/cow_267434.png,fake/glide_inpainting_val2017_267434_up.png,mask/cow_267434_mask.png,cow
real/tv_56344.png,fake/glide_inpainting_val2017_56344_up.png,mask/tv_56344_mask.png,tv
real/banana_346707.png,fake/glide_inpainting_val2017_346707_up.png,mask/banana_346707_mask.png,banana
real/refrigerator_435880.png,fake/glide_inpainting_val2017_435880_up.png,mask/refrigerator_435880_mask.png,refrigerator
real/kite_450439.png,fake/glide_inpainting_val2017_450439_up.png,mask/kite_450439_mask.png,kite
real/boat_561335.png,fake/glide_inpainting_val2017_561335_up.png,mask/boat_561335_mask.png,boat
real/potted plant_415238.png,fake/glide_inpainting_val2017_415238_up.png,mask/potted plant_415238_mask.png,potted plant
real/apple_562059.png,fake/glide_inpainting_val2017_562059_up.png,mask/apple_562059_mask.png,apple
real/baseball glove_27932.png,fake/glide_inpainting_val2017_27932_up.png,mask/baseball glove_27932_mask.png,baseball glove
real/pizza_369757.png,fake/glide_inpainting_val2017_369757_up.png,mask/pizza_369757_mask.png,pizza
real/bicycle_224051.png,fake/glide_inpainting_val2017_224051_up.png,mask/bicycle_224051_mask.png,bicycle
real/sandwich_173091.png,fake/glide_inpainting_val2017_173091_up.png,mask/sandwich_173091_mask.png,sandwich
real/umbrella_121506.png,fake/glide_inpainting_val2017_121506_up.png,mask/umbrella_121506_mask.png,umbrella
real/train_184400.png,fake/glide_inpainting_val2017_184400_up.png,mask/train_184400_mask.png,train
real/bird_572517.png,fake/glide_inpainting_val2017_572517_up.png,mask/bird_572517_mask.png,bird
real/broccoli_350388.png,fake/glide_inpainting_val2017_350388_up.png,mask/broccoli_350388_mask.png,broccoli
real/sandwich_170595.png,fake/glide_inpainting_val2017_170595_up.png,mask/sandwich_170595_mask.png,sandwich
real/knife_2592.png,fake/glide_inpainting_val2017_2592_up.png,mask/knife_2592_mask.png,knife
real/broccoli_34205.png,fake/glide_inpainting_val2017_34205_up.png,mask/broccoli_34205_mask.png,broccoli
real/potted plant_372260.png,fake/glide_inpainting_val2017_372260_up.png,mask/potted plant_372260_mask.png,potted plant
real/cow_314034.png,fake/glide_inpainting_val2017_314034_up.png,mask/cow_314034_mask.png,cow
real/sheep_528524.png,fake/glide_inpainting_val2017_528524_up.png,mask/sheep_528524_mask.png,sheep
real/broccoli_549167.png,fake/glide_inpainting_val2017_549167_up.png,mask/broccoli_549167_mask.png,broccoli
real/traffic light_571943.png,fake/glide_inpainting_val2017_571943_up.png,mask/traffic light_571943_mask.png,traffic light
real/broccoli_3501.png,fake/glide_inpainting_val2017_3501_up.png,mask/broccoli_3501_mask.png,broccoli
real/vase_159282.png,fake/glide_inpainting_val2017_159282_up.png,mask/vase_159282_mask.png,vase
real/cell phone_561366.png,fake/glide_inpainting_val2017_561366_up.png,mask/cell phone_561366_mask.png,cell phone
real/sandwich_191580.png,fake/glide_inpainting_val2017_191580_up.png,mask/sandwich_191580_mask.png,sandwich
real/spoon_116362.png,fake/glide_inpainting_val2017_116362_up.png,mask/spoon_116362_mask.png,spoon
real/couch_47769.png,fake/glide_inpainting_val2017_47769_up.png,mask/couch_47769_mask.png,couch
real/orange_386210.png,fake/glide_inpainting_val2017_386210_up.png,mask/orange_386210_mask.png,orange
real/umbrella_146363.png,fake/glide_inpainting_val2017_146363_up.png,mask/umbrella_146363_mask.png,umbrella
real/giraffe_417876.png,fake/glide_inpainting_val2017_417876_up.png,mask/giraffe_417876_mask.png,giraffe
real/skateboard_544052.png,fake/glide_inpainting_val2017_544052_up.png,mask/skateboard_544052_mask.png,skateboard
real/umbrella_222991.png,fake/glide_inpainting_val2017_222991_up.png,mask/umbrella_222991_mask.png,umbrella
real/tv_72813.png,fake/glide_inpainting_val2017_72813_up.png,mask/tv_72813_mask.png,tv
real/suitcase_81061.png,fake/glide_inpainting_val2017_81061_up.png,mask/suitcase_81061_mask.png,suitcase
real/bicycle_426166.png,fake/glide_inpainting_val2017_426166_up.png,mask/bicycle_426166_mask.png,bicycle
real/airplane_567432.png,fake/glide_inpainting_val2017_567432_up.png,mask/airplane_567432_mask.png,airplane
real/fire hydrant_293474.png,fake/glide_inpainting_val2017_293474_up.png,mask/fire hydrant_293474_mask.png,fire hydrant
real/airplane_44652.png,fake/glide_inpainting_val2017_44652_up.png,mask/airplane_44652_mask.png,airplane
real/airplane_208901.png,fake/glide_inpainting_val2017_208901_up.png,mask/airplane_208901_mask.png,airplane
real/tv_366141.png,fake/glide_inpainting_val2017_366141_up.png,mask/tv_366141_mask.png,tv
real/bicycle_36844.png,fake/glide_inpainting_val2017_36844_up.png,mask/bicycle_36844_mask.png,bicycle
real/giraffe_285788.png,fake/glide_inpainting_val2017_285788_up.png,mask/giraffe_285788_mask.png,giraffe
real/broccoli_231822.png,fake/glide_inpainting_val2017_231822_up.png,mask/broccoli_231822_mask.png,broccoli
real/hot dog_452084.png,fake/glide_inpainting_val2017_452084_up.png,mask/hot dog_452084_mask.png,hot dog
real/giraffe_217614.png,fake/glide_inpainting_val2017_217614_up.png,mask/giraffe_217614_mask.png,giraffe
real/bear_308753.png,fake/glide_inpainting_val2017_308753_up.png,mask/bear_308753_mask.png,bear
real/elephant_263860.png,fake/glide_inpainting_val2017_263860_up.png,mask/elephant_263860_mask.png,elephant
real/vase_95786.png,fake/glide_inpainting_val2017_95786_up.png,mask/vase_95786_mask.png,vase
real/sandwich_287959.png,fake/glide_inpainting_val2017_287959_up.png,mask/sandwich_287959_mask.png,sandwich
real/elephant_330790.png,fake/glide_inpainting_val2017_330790_up.png,mask/elephant_330790_mask.png,elephant
real/donut_377814.png,fake/glide_inpainting_val2017_377814_up.png,mask/donut_377814_mask.png,donut
real/donut_451150.png,fake/glide_inpainting_val2017_451150_up.png,mask/donut_451150_mask.png,donut
real/dog_361571.png,fake/glide_inpainting_val2017_361571_up.png,mask/dog_361571_mask.png,dog
real/bicycle_101762.png,fake/glide_inpainting_val2017_101762_up.png,mask/bicycle_101762_mask.png,bicycle
real/pizza_24144.png,fake/glide_inpainting_val2017_24144_up.png,mask/pizza_24144_mask.png,pizza
real/suitcase_304545.png,fake/glide_inpainting_val2017_304545_up.png,mask/suitcase_304545_mask.png,suitcase
real/stop sign_283038.png,fake/glide_inpainting_val2017_283038_up.png,mask/stop sign_283038_mask.png,stop sign
real/dining table_182417.png,fake/glide_inpainting_val2017_182417_up.png,mask/dining table_182417_mask.png,dining table
real/train_534639.png,fake/glide_inpainting_val2017_534639_up.png,mask/train_534639_mask.png,train
real/pizza_232489.png,fake/glide_inpainting_val2017_232489_up.png,mask/pizza_232489_mask.png,pizza
real/cow_133778.png,fake/glide_inpainting_val2017_133778_up.png,mask/cow_133778_mask.png,cow
real/refrigerator_168593.png,fake/glide_inpainting_val2017_168593_up.png,mask/refrigerator_168593_mask.png,refrigerator
real/cat_402473.png,fake/glide_inpainting_val2017_402473_up.png,mask/cat_402473_mask.png,cat
real/bed_435299.png,fake/glide_inpainting_val2017_435299_up.png,mask/bed_435299_mask.png,bed
real/zebra_317024.png,fake/glide_inpainting_val2017_317024_up.png,mask/zebra_317024_mask.png,zebra
real/orange_50896.png,fake/glide_inpainting_val2017_50896_up.png,mask/orange_50896_mask.png,orange
real/bird_147498.png,fake/glide_inpainting_val2017_147498_up.png,mask/bird_147498_mask.png,bird
real/motorcycle_410878.png,fake/glide_inpainting_val2017_410878_up.png,mask/motorcycle_410878_mask.png,motorcycle
real/bear_203546.png,fake/glide_inpainting_val2017_203546_up.png,mask/bear_203546_mask.png,bear
real/zebra_185409.png,fake/glide_inpainting_val2017_185409_up.png,mask/zebra_185409_mask.png,zebra
real/cow_518213.png,fake/glide_inpainting_val2017_518213_up.png,mask/cow_518213_mask.png,cow
real/hot dog_293858.png,fake/glide_inpainting_val2017_293858_up.png,mask/hot dog_293858_mask.png,hot dog
real/vase_51326.png,fake/glide_inpainting_val2017_51326_up.png,mask/vase_51326_mask.png,vase
real/sheep_198960.png,fake/glide_inpainting_val2017_198960_up.png,mask/sheep_198960_mask.png,sheep
real/donut_328117.png,fake/glide_inpainting_val2017_328117_up.png,mask/donut_328117_mask.png,donut
real/toilet_272416.png,fake/glide_inpainting_val2017_272416_up.png,mask/toilet_272416_mask.png,toilet
real/giraffe_420472.png,fake/glide_inpainting_val2017_420472_up.png,mask/giraffe_420472_mask.png,giraffe
real/bear_20247.png,fake/glide_inpainting_val2017_20247_up.png,mask/bear_20247_mask.png,bear
real/hot dog_319617.png,fake/glide_inpainting_val2017_319617_up.png,mask/hot dog_319617_mask.png,hot dog
real/elephant_433374.png,fake/glide_inpainting_val2017_433374_up.png,mask/elephant_433374_mask.png,elephant
real/cow_244411.png,fake/glide_inpainting_val2017_244411_up.png,mask/cow_244411_mask.png,cow
real/fork_75393.png,fake/glide_inpainting_val2017_75393_up.png,mask/fork_75393_mask.png,fork
real/horse_529105.png,fake/glide_inpainting_val2017_529105_up.png,mask/horse_529105_mask.png,horse
real/toilet_394328.png,fake/glide_inpainting_val2017_394328_up.png,mask/toilet_394328_mask.png,toilet
real/cake_85195.png,fake/glide_inpainting_val2017_85195_up.png,mask/cake_85195_mask.png,cake
real/broccoli_356498.png,fake/glide_inpainting_val2017_356498_up.png,mask/broccoli_356498_mask.png,broccoli
real/bus_15517.png,fake/glide_inpainting_val2017_15517_up.png,mask/bus_15517_mask.png,bus
real/giraffe_284296.png,fake/glide_inpainting_val2017_284296_up.png,mask/giraffe_284296_mask.png,giraffe
real/wine glass_533206.png,fake/glide_inpainting_val2017_533206_up.png,mask/wine glass_533206_mask.png,wine glass
real/umbrella_233033.png,fake/glide_inpainting_val2017_233033_up.png,mask/umbrella_233033_mask.png,umbrella
real/clock_418961.png,fake/glide_inpainting_val2017_418961_up.png,mask/clock_418961_mask.png,clock
real/stop sign_579893.png,fake/glide_inpainting_val2017_579893_up.png,mask/stop sign_579893_mask.png,stop sign
real/airplane_383621.png,fake/glide_inpainting_val2017_383621_up.png,mask/airplane_383621_mask.png,airplane
real/horse_508639.png,fake/glide_inpainting_val2017_508639_up.png,mask/horse_508639_mask.png,horse
real/laptop_60449.png,fake/glide_inpainting_val2017_60449_up.png,mask/laptop_60449_mask.png,laptop
real/bottle_375078.png,fake/glide_inpainting_val2017_375078_up.png,mask/bottle_375078_mask.png,bottle
real/parking meter_328683.png,fake/glide_inpainting_val2017_328683_up.png,mask/parking meter_328683_mask.png,parking meter
real/parking meter_36861.png,fake/glide_inpainting_val2017_36861_up.png,mask/parking meter_36861_mask.png,parking meter
real/handbag_23023.png,fake/glide_inpainting_val2017_23023_up.png,mask/handbag_23023_mask.png,handbag
real/zebra_129054.png,fake/glide_inpainting_val2017_129054_up.png,mask/zebra_129054_mask.png,zebra
real/tie_505573.png,fake/glide_inpainting_val2017_505573_up.png,mask/tie_505573_mask.png,tie
real/sheep_340272.png,fake/glide_inpainting_val2017_340272_up.png,mask/sheep_340272_mask.png,sheep
real/bicycle_196843.png,fake/glide_inpainting_val2017_196843_up.png,mask/bicycle_196843_mask.png,bicycle
real/pizza_194746.png,fake/glide_inpainting_val2017_194746_up.png,mask/pizza_194746_mask.png,pizza
real/broccoli_3845.png,fake/glide_inpainting_val2017_3845_up.png,mask/broccoli_3845_mask.png,broccoli
real/truck_314914.png,fake/glide_inpainting_val2017_314914_up.png,mask/truck_314914_mask.png,truck
real/bus_15440.png,fake/glide_inpainting_val2017_15440_up.png,mask/bus_15440_mask.png,bus
real/surfboard_355677.png,fake/glide_inpainting_val2017_355677_up.png,mask/surfboard_355677_mask.png,surfboard
real/traffic light_526392.png,fake/glide_inpainting_val2017_526392_up.png,mask/traffic light_526392_mask.png,traffic light
real/fork_559707.png,fake/glide_inpainting_val2017_559707_up.png,mask/fork_559707_mask.png,fork
real/knife_153632.png,fake/glide_inpainting_val2017_153632_up.png,mask/knife_153632_mask.png,knife
real/tie_471869.png,fake/glide_inpainting_val2017_471869_up.png,mask/tie_471869_mask.png,tie
